household_id,district,latitude,longitude,distribution_date,household_size,baseline_fuel_kg_person_week,distance_to_market_km,elevation_m,usage_month_1,usage_month_2,usage_month_3,usage_month_4,usage_month_5,usage_month_6
HH-00867,Nyabihu,-1.567764,29.493119,13/06/2024,4.0,7.1,2.3,2290,25.2,26.9,28.0,26.4,23.4,31.0
HH-05592,Burera,-1.475899,29.84527,11/10/2023,4.0,11.0,14.9,1834,21.7,25.3,22.2,20.4,23.1,19.8
HH-02466,Nyabihu,-1.578373,29.512017,02/06/2024,6.0,11.7,16.8,2343,62.6,50.8,55.5,53.2,58.4,62.7
HH-00466,Musanze,-1.467266,29.575018,02/01/2023,5.0,4.2,2.1,1809,12.3,10.0,9.8,9.1,8.0,10.9
HH-02883,Nyabihu,-1.600674,29.530851,31/07/2023,5.0,8.0,4.0,2427,22.0,21.7,23.2,21.1,14.2,19.0
HH-04962,Nyabihu,-1.620652,29.453507,04/03/2023,6.0,12.6,5.4,2295,59.4,66.84,63.7,75.7,54.2,81.2
HH-07043,Burera,-1.426379,29.834357,08/06/2024,2.0,11.5,8.6,2173,19.6,17.7,18.6,22.0,21.7,19.6
HH-06241,Gakenke,-1.745753,29.788498,27/05/2024,5.0,9.3,1.0,2041,20.4,16.8,17.1,23.4,19.1,19.8
HH-05448,Burera,-1.4544,29.831089,14/06/2024,4.0,8.7,2.2,1718,19.7,15.8,15.4,17.2,13.4,11.4
HH-01503,Nyabihu,-1.599157,29.465071,04/02/2023,3.0,9.8,2.0,2451,22.5,26.9,26.2,25.659999999999997,25.1,27.6
HH-03916,Musanze,-1.529878,29.689706,24/12/2023,5.0,11.0,3.3,1952,30.6,32.0,28.6,26.3,21.4,27.2
HH-03263,Musanze,-1.506337,29.570184,13/01/2024,4.0,10.5,1.9,1860,41.4,30.5,44.3,38.6,37.9,41.6
HH-00264,Burera,-1.48319,29.751817,15/02/2024,4.0,6.8,7.9,1899,22.5,24.6,22.7,24.2,27.0,21.8
HH-03807,Musanze,-1.481253,29.559072,23/06/2024,7.0,7.5,2.4,1658,50.2,44.8,45.7,46.82,43.8,49.6
HH-04085,Nyabihu,-1.644725,29.532834,07/05/2024,4.0,8.2,4.6,2475,25.0,29.3,26.3,26.4,32.8,24.5
HH-07840,Gakenke,-1.602937,29.843999,09/05/2023,4.0,9.1,5.2,1856,37.4,29.1,30.7,36.3,31.2,28.2
HH-01812,Rulindo,-1.745203,30.082609,02/09/2023,4.0,5.7,1.0,1970,11.3,12.1,8.7,9.8,10.4,11.5
HH-01145,Musanze,-1.532908,29.600626,27/05/2024,3.0,6.0,2.4,1964,6.6,9.1,8.9,9.8,8.2,6.4
HH-05828,Nyabihu,-1.620628,29.470001,02/08/2023,4.0,8.0,2.2,2414,29.5,25.8,29.6,32.0,27.8,30.7
HH-02150,Rulindo,-1.727315,30.022235,20/05/2023,6.0,9.8,0.8,1895,36.5,30.9,33.8,26.3,24.5,26.2
HH-03930,Nyabihu,-1.602632,29.503217,20/04/2023,5.0,8.2,5.3,2323,17.4,20.8,22.5,17.8,16.7,16.9
HH-06320,Nyabihu,-1.637521,29.524424,13/02/2024,5.0,10.7,1.6,2289,50.0,41.3,43.8,54.9,42.5,47.3
HH-03291,Nyabihu,-1.634374,29.513433,21/06/2024,4.0,5.0,1.2,2462,15.8,18.2,21.9,19.8,16.6,20.4
HH-00683,Nyabihu,-1.633825,29.484947,04/09/2023,7.0,7.7,1.7,2485,26.1,27.7,22.4,28.5,25.5,25.3
HH-02841,Musanze,-1.55,29.586763,17/08/2023,5.0,7.8,1.0,1788,17.6,20.0,17.6,15.3,17.6,19.2
HH-01003,Gakenke,-1.621798,29.836821,24/12/2023,5.0,7.8,2.6,2055,39.4,37.1,32.8,32.5,29.3,34.0
HH-06756,Musanze,-1.47898,29.573188,04/07/2023,4.0,9.6,1.5,1966,29.2,40.7,36.4,37.6,38.8,41.7
HH-05130,Gakenke,-1.69376,29.859878,22/10/2023,3.0,8.9,0.9,1920,22.0,21.1,23.7,27.6,19.6,25.9
HH-04291,Burera,-1.499253,29.828741,28/06/2023,5.0,9.2,5.6,1999,23.5,20.860000000000003,18.4,24.9,20.6,16.9
HH-02174,Gakenke,-1.608674,29.88242,26/04/2024,4.0,9.3,2.9,2028,29.7,30.5,32.0,31.5,30.0,29.3
HH-00484,Burera,-1.475929,29.751817,04/09/2023,3.0,7.8,4.0,2084,25.1,22.5,22.3,21.2,18.0,23.2
HH-03814,Burera,-1.446568,29.820777,13/12/2023,4.0,10.5,2.3,1949,16.5,19.1,21.3,21.1,17.9,16.8
HH-04415,Musanze,-1.46074,29.567162,12/11/2023,5.0,8.7,2.8,1952,21.1,19.2,21.8,22.7,18.9,21.2
HH-00519,Gakenke,-1.741371,29.821733,24/03/2023,5.0,9.8,0.8,1943,50.9,44.6,48.2,44.2,49.0,41.9
HH-06989,Nyabihu,-1.631469,29.51794,14/06/2023,4.0,9.8,4.3,2284,20.7,19.8,20.3,20.7,19.2,14.1
HH-01346,Musanze,-1.454608,29.636653,16/02/2023,6.0,9.9,2.5,1675,24.3,31.7,23.4,31.5,31.3,29.8
HH-00697,Musanze,-1.495231,29.577479,15/06/2025,6.0,8.7,3.5,2074,21.1,27.5,23.9,27.7,22.4,23.3
HH-01010,Burera,-1.443414,29.785384,30/03/2024,6.0,9.6,0.5,1784,54.9,44.6,54.3,51.7,59.4,52.5
HH-06318,Burera,-1.41775,29.709406,03/02/2024,6.0,7.1,4.6,1721,24.7,19.6,20.9,19.9,17.8,15.6
HH-06596,Musanze,-1.503183,29.636361,28/05/2023,6.0,7.3,3.8,1864,24.2,21.9,18.7,25.6,18.9,24.0
HH-02771,Nyabihu,-1.55,29.502088,17/05/2024,6.0,6.6,6.4,2446,34.5,34.9,28.7,32.0,33.4,32.1
HH-01075,Gakenke,-1.631505,29.86084,06/04/2023,4.0,6.4,6.4,2050,13.7,14.4,11.7,11.7,8.9,9.9
HH-01340,Nyabihu,-1.633904,29.495824,20/06/2023,2.0,11.7,6.0,2477,13.5,10.8,11.5,12.3,12.059999999999999,12.2
HH-02987,Nyabihu,-1.643397,29.507326,10/06/2023,3.0,10.3,2.2,2477,25.3,30.9,27.7,24.1,24.6,30.7
HH-07710,Rulindo,-1.789629,30.064801,28/04/2023,2.0,7.9,7.2,1823,7.9,8.1,7.4,6.6,5.3,8.6
HH-06748,Nyabihu,-1.599689,29.465894,06/02/2024,2.0,6.6,1.0,2732,9.8,10.9,11.7,11.1,9.8,14.2
HH-04422,Gakenke,-1.685459,29.865713,29/05/2024,5.0,12.5,4.0,1857,45.1,57.5,65.9,67.6,61.8,64.0
HH-03393,Gakenke,-1.647596,29.849858,20/07/2023,5.0,9.9,2.2,1870,39.2,48.9,40.7,40.5,39.4,52.6
HH-01484,Nyabihu,-1.609846,29.539503,27/12/2023,5.0,8.0,8.1,2404,18.5,21.3,17.0,14.0,16.3,15.1
HH-04862,Rulindo,-1.724886,30.013709,03/02/2023,4.0,4.0,3.0,1866,8.9,7.4,8.8,6.0,8.6,6.8
HH-01935,Rulindo,-1.751181,30.082719,08/06/2024,5.0,7.4,5.9,1951,35.5,27.4,34.8,33.5,34.4,33.2
HH-01035,Nyabihu,-1.6343,29.520893,10/09/2023,4.0,7.8,13.2,2298,32.9,29.2,25.2,30.5,31.8,21.8
HH-05485,Rulindo,-1.763534,30.088433,03/06/2023,2.0,7.2,13.2,1916,6.3,7.3,5.5,7.4,7.8,5.5
HH-02479,Nyabihu,-1.585498,29.510853,07/01/2023,6.0,8.4,6.9,2403,43.1,49.7,46.6,42.7,39.1,45.0
HH-00350,Burera,-1.416809,29.813555,01/11/2023,6.0,4.2,3.3,1868,24.5,20.6,22.339999999999996,23.7,21.0,21.9
HH-04394,Nyabihu,-1.562932,29.454973,26/12/2023,3.0,10.2,2.1,2363,13.4,13.9,14.8,12.9,15.2,14.6
HH-04353,Musanze,-1.510574,29.658983,07/10/2023,5.0,7.2,1.7,2193,20.3,15.6,18.4,15.7,16.2,20.9
HH-07558,Burera,-1.491341,29.750842,14/01/2024,4.0,9.2,3.0,1894,32.5,39.4,33.8,31.9,32.7,26.6
HH-01062,Gakenke,-1.682556,29.869758,06/04/2023,4.0,7.6,14.0,1684,27.5,25.7,31.6,26.1,28.6,21.4
HH-00880,Musanze,-1.542299,29.604505,25/12/2023,5.0,6.6,3.4,1765,12.6,16.0,13.7,14.4,19.6,15.9
HH-05603,Nyabihu,-1.57712,29.507402,05/03/2024,4.0,8.4,2.1,2392,25.6,27.9,30.9,27.8,28.7,25.9
HH-02543,Rulindo,-1.719347,29.996068,11/11/2023,3.0,9.8,0.5,1664,13.2,14.3,15.9,13.95,12.4,13.95
HH-06424,Musanze,-1.469249,29.606828,19/04/2024,4.0,5.8,22.5,1895,19.0,19.6,22.6,18.1,22.9,23.9
HH-06745,Burera,-1.405005,29.767102,09/02/2024,5.0,3.6499999999999995,1.6,2153,19.6,18.1,22.3,17.4,21.9,16.0
HH-01851,Musanze,-1.48949,29.577151,04/03/2024,5.0,10.0,14.5,1932,37.0,46.3,46.8,44.9,47.9,43.3
HH-05403,Gakenke,-1.724787,29.833425,28/03/2024,3.0,9.3,2.0,2199,28.7,29.1,23.4,27.1,23.9,21.2
HH-01678,Musanze,-1.549483,29.646631,03/04/2024,6.0,9.8,3.9,1723,24.4,30.4,30.6,27.8,27.72,25.4
HH-01836,Rulindo,-1.77226,30.093754,20/04/2023,1.0,7.0,7.0,2096,5.4,5.5,5.6,6.7,5.659999999999999,5.1
HH-07112,Gakenke,-1.602463,29.799568,29/11/2023,5.0,6.5,3.4,2203,18.0,13.5,14.7,12.8,12.2,13.9
HH-04953,Musanze,-1.479784,29.677481,30/05/2023,4.0,8.8,4.2,1802,17.4,14.4,17.4,13.4,11.7,17.6
HH-04705,Musanze,-1.472675,29.559684,17/03/2023,3.0,8.9,1.9,1890,9.8,12.3,10.8,10.9,10.6,14.7
HH-05200,Musanze,-1.457053,29.605061,10/03/2023,5.0,11.8,4.4,1969,59.3,54.3,47.8,48.8,54.8,49.9
HH-00458,Musanze,-1.49089,29.622284,06/12/2023,6.0,11.5,1.8,1919,35.7,25.6,36.1,25.5,36.8,31.8
HH-04648,Musanze,-1.498698,29.586154,01/05/2023,4.0,10.5,5.4,1831,36.1,29.2,43.1,33.4,42.8,38.9
HH-06508,Gakenke,-1.747526,29.808525,03/06/2023,2.0,9.2,7.5,2023,11.4,8.3,10.0,8.7,8.3,6.9
HH-03183,Musanze,-1.494478,29.66374,24/05/2024,6.0,5.6,4.5,1890,28.8,27.9,30.1,35.0,23.8,35.6
HH-05338,Burera,-1.402564,29.8329,02/06/2023,5.0,11.0,7.4,1772,25.0,24.6,27.4,21.4,25.7,23.5
HH-01946,Burera,-1.477798,29.750558,17/02/2023,5.0,6.6,1.3,1830,13.2,18.8,15.4,15.4,16.0,13.0
HH-06125,Rulindo,-1.740056,30.011564,09/04/2023,4.0,6.7,6.6,1877,11.1,14.9,13.2,10.7,11.4,11.6
HH-03264,Nyabihu,-1.615182,29.466818,11/02/2024,5.0,9.1,25.0,2212,44.0,43.8,45.9,38.7,37.3,47.7
HH-06523,Rulindo,-1.770068,29.998776,07/05/2024,4.0,7.5,7.5,1995,29.7,30.1,25.8,30.0,22.8,28.2
HH-06522,Nyabihu,-1.590532,29.510422,07/10/2023,3.0,9.9,6.2,2543,13.3,13.2,12.1,14.6,14.2,12.6
HH-06703,Musanze,-1.525282,29.603233,13/04/2024,4.0,12.4,6.6,1962,42.9,45.1,38.5,37.7,43.6,49.6
HH-02989,Rulindo,-1.75886,30.038739,21/02/2024,4.0,9.9,2.1,1586,38.0,29.1,35.2,32.9,38.6,33.8
HH-07021,Burera,-1.407593,29.769417,28/03/2023,3.0,8.8,2.5,1849,24.2,22.5,26.3,28.5,23.3,27.1
HH-01551,Gakenke,-1.637813,29.810746,26/04/2024,3.0,11.8,3.2,2114,27.7,31.78,31.6,29.6,33.4,36.6
HH-02165,Burera,-1.403092,29.720475,07/09/2023,4.0,9.3,9.2,1689,33.2,32.3,31.6,36.6,30.2,35.5
HH-00587,Nyabihu,-1.576059,29.528103,02/08/2023,3.0,8.8,7.4,2633,13.9,12.0,15.4,11.1,11.0,10.8
HH-02406,Burera,-1.468752,29.750353,05/01/2023,5.0,7.9,2.0,1912,21.7,18.96,16.5,18.6,22.5,15.5
HH-06801,Nyabihu,-1.582478,29.483168,14/06/2023,3.0,11.0,1.1,2203,29.4,26.6,30.7,23.0,28.3,33.1
HH-03429,Gakenke,-1.677396,29.754912,17/04/2024,4.0,3.6499999999999995,4.4,2222,15.0,17.2,19.3,17.9,17.2,16.6
HH-02610,Nyabihu,-1.621543,29.525956,18/01/2023,4.0,7.9,3.8,2429,18.2,15.9,15.9,11.1,10.8,12.7
HH-03657,Musanze,-1.543598,29.677112,13/01/2024,6.0,9.4,1.2,1930,22.2,30.1,24.0,24.1,30.9,22.9
HH-03215,Musanze,-1.48409,29.617453,22/04/2023,4.0,7.5,3.2,1814,21.5,19.5,21.4,16.2,21.0,20.2
HH-03535,Musanze,-1.52887,29.656656,16/04/2023,4.0,12.8,8.5,1852,23.4,28.2,24.0,25.5,24.9,24.7
HH-03287,Musanze,-1.522639,29.552457,05/12/2023,10.0,11.2,1.4,1726,101.9,92.2,119.6,98.5,118.9,92.2
HH-02081,Nyabihu,29.498735,-1.58909,17/04/2023,5.0,7.7,3.5,2170,36.1,37.3,34.9,32.6,32.6,34.3
HH-06956,Musanze,-1.451925,29.552005,11/04/2023,7.0,12.9,1.4,1689,76.3,96.4,81.44000000000001,86.4,85.8,62.3
HH-06488,Musanze,-1.52579,29.556042,16/05/2024,5.0,12.4,2.3,1875,52.9,55.4,59.3,52.6,47.9,62.5
HH-00648,Rulindo,-1.787373,29.956658,14/05/2024,5.0,7.7,4.7,1837,16.6,19.4,18.0,20.4,18.4,18.560000000000002
HH-00223,Nyabihu,-1.559109,29.469895,17/01/2024,6.0,12.1,1.5,2429,68.0,61.0,72.4,68.6,64.3,79.0
HH-06890,Burera,-1.443331,29.71826,31/01/2024,4.0,7.6,2.9,2027,17.2,17.2,11.1,17.4,15.8,12.0
HH-07679,Nyabihu,-1.594364,29.491658,04/01/2024,4.0,6.7,3.6,2266,24.8,23.3,27.7,23.3,24.5,18.8
HH-00024,Musanze,-1.52842,29.573796,13/09/2023,5.0,8.0,6.9,1816,19.6,17.7,15.8,13.7,18.7,21.6
HH-01906,Nyabihu,-1.564119,29.473044,18/05/2023,4.0,9.0,1.4,2618,17.7,22.5,15.0,13.8,15.2,12.0
HH-04079,Rulindo,-1.71576,30.082424,22/02/2024,6.0,8.0,1.7,1723,21.7,23.0,24.5,21.6,23.9,19.9
HH-01555,Musanze,-1.500512,29.624178,14/04/2024,1.0,12.5,2.1,1781,5.5,5.7,5.5,7.0,6.7,5.8
HH-05724,Nyabihu,-1.633159,29.461321,04/09/2023,4.0,12.2,6.7,2499,48.6,49.3,52.2,45.2,37.8,46.9
HH-05205,Gakenke,-1.683285,29.88931,17/05/2024,3.0,6.4,17.4,2153,16.2,19.8,17.2,19.9,17.7,19.5
HH-07701,Gakenke,-1.680586,29.889372,23/02/2024,3.0,8.9,1.2,2027,23.3,21.7,22.6,19.4,21.9,24.9
HH-05841,Musanze,-1.542826,29.601953,29/11/2023,6.0,8.2,1.4,1943,26.0,18.2,23.6,19.2,26.3,20.0
HH-04946,Gakenke,-1.730252,29.812927,11/03/2023,4.0,4.0,1.9,2049,13.9,15.4,13.7,13.6,14.4,14.0
HH-01408,Rulindo,-1.723477,30.025344,16/06/2023,3.0,8.2,7.1,1674,23.3,25.4,25.7,25.5,23.7,18.2
HH-00066,Burera,-1.441631,29.825406,11/04/2023,3.0,11.1,10.3,1845,15.5,16.2,12.9,13.0,13.9,16.2
HH-06341,Musanze,-1.522229,29.646694,21/02/2023,4.0,9.9,0.9,1793,21.1,21.9,16.7,16.8,17.7,17.5
HH-01045,Gakenke,-1.6385,29.754515,22/07/2023,5.0,5.3,0.9,2179,24.2,22.3,24.7,28.4,28.6,22.6
HH-06689,Burera,-1.412921,29.805244,01/05/2023,3.0,7.8,3.6,1910,10.5,12.8,14.0,10.8,10.1,7.7
HH-07925,Gakenke,-1.722321,29.814638,05/02/2023,5.0,8.2,1.5,2173,31.3,33.7,33.6,39.0,43.0,39.4
HH-04744,Gakenke,-1.649476,29.875092,14/08/2023,5.0,7.3,3.4,2239,22.6,19.8,13.9,13.7,16.5,21.0
HH-02032,Burera,-1.423323,29.849559,07/07/2023,7.0,9.7,5.0,1918,36.6,33.1,26.3,31.5,28.9,37.5
HH-05825,Nyabihu,-1.621133,29.480505,15/09/2023,3.0,7.1,5.9,2432,12.4,13.2,9.1,9.1,11.8,10.5
HH-05245,Rulindo,-1.78915,30.064201,14/02/2023,5.0,9.5,2.9,1697,45.9,40.1,42.5,44.5,45.6,45.7
HH-05037,Burera,-1.467274,29.753615,10/02/2023,3.0,9.0,14.7,2288,25.1,20.1,27.2,24.2,28.7,26.0
HH-00555,Gakenke,-1.630419,29.815716,15/05/2023,3.0,12.5,6.2,2139,34.0,35.2,29.9,26.9,26.8,35.1
HH-07312,Burera,-1.438559,29.822525,07/08/2023,6.0,3.6499999999999995,1.7,1867,41.0,38.9,42.2,53.7,43.9,42.0
HH-04395,Gakenke,-1.600441,29.832871,29/03/2024,3.0,11.2,2.0,1866,30.8,30.1,30.300000000000004,30.300000000000004,34.2,26.1
HH-05395,Rulindo,-1.774107,29.972277,19/07/2023,1.0,8.5,7.2,1721,7.8,8.0,7.1,8.9,7.4,8.7
HH-03536,Nyabihu,-1.595499,29.496714,05/01/2023,7.0,12.1,6.4,2432,43.3,35.2,41.0,40.1,36.5,43.6
HH-01700,Burera,-1.415651,29.785984,23/08/2023,5.0,8.6,2.3,1858,22.5,25.7,20.7,17.4,25.3,23.4
HH-06727,Musanze,-1.517522,29.669787,11/07/2023,4.0,5.7,1.8,1983,21.3,18.1,23.8,20.6,19.0,22.3
HH-01056,Musanze,-1.53704,29.6122,13/05/2023,4.0,7.7,16.1,1914,27.7,24.6,25.8,27.3,31.0,29.8
HH-01407,Rulindo,-1.723449,30.005657,10/12/2023,5.0,9.4,7.4,1955,23.5,23.1,22.6,21.0,21.7,20.9
HH-03768,Musanze,-1.528313,29.607649,15/12/2023,7.0,11.0,4.4,2207,35.2,42.1,38.2,37.8,33.6,36.3
HH-00602,Musanze,-1.477383,29.659629,02/04/2024,4.0,10.0,0.8,1804,37.0,37.3,37.8,34.5,34.7,33.3
HH-01384,Musanze,-1.464987,29.651347,13/09/2023,3.0,9.0,2.1,1589,14.2,14.3,15.0,10.5,12.4,12.9
HH-03333,Nyabihu,-1.639871,29.522761,15/06/2023,3.0,8.1,3.4,2436,21.5,19.4,24.7,17.9,21.2,18.8
HH-02119,Nyabihu,-1.636959,29.537803,04/04/2023,3.0,8.5,7.6,2830,10.6,13.1,9.4,14.5,14.2,10.4
HH-04320,Burera,-1.483795,29.837301,18/06/2023,5.0,10.0,2.9,1705,43.6,46.0,53.5,47.66,44.3,50.9
HH-01913,Gakenke,-1.730896,29.823299,01/11/2023,3.0,8.7,1.9,1981,24.0,22.8,24.3,26.8,20.0,25.7
HH-03685,Rulindo,-1.731854,30.098484,01/09/2023,4.0,9.0,3.4,1779,16.9,19.8,17.0,20.0,18.0,17.1
HH-07583,Nyabihu,-1.5987385,29.499624500000003,10/01/2024,6.0,8.7,1.3,2345,27.9,30.2,25.5,18.7,24.6,23.1
